ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10244	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10245	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10246	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris holmesi
ASV_10247	Unknown	NA	NA	NA	NA	NA	NA
ASV_10248	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	NA
ASV_10249	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_1025	Eukaryota	Arthropoda	Malacostraca	Decapoda	Panopeidae	Lophopanopeus	Lophopanopeus bellus
ASV_10250	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus bungii
ASV_10251	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10252	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10253	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	NA	NA
